city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-75forbelow,75°F or below,0.0,1.0,6.625469970703122,True,True,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-76-77f,76-77°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-78-79f,78-79°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-80-81f,80-81°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-82-83f,82-83°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-84-85f,84-85°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-86-87f,86-87°F,0.0,1.0,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-88-89f,88-89°F,0.01301804592372508,0.9869819540762749,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.9945,55.0,0.99,0.0004950000000000005,0.990495,-0.0035130459237251443,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-90-91f,90-91°F,0.03563640310150986,0.9643635968984902,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.992,55.0,0.99,0.0004950000000000005,0.990495,-0.026131403101509854,True,0.009596211995012593
Dallas,KDAL,2026-06-01,highest-temperature-in-dallas-on-june-1-2026,highest-temperature-in-dallas-on-june-1-2026-92-93f,92-93°F,0.25198247724417994,0.7480175227558201,6.625469970703122,True,False,False,False,True,True,0.05,1.0,1780330500,0.85,55.0,0.86,0.006020000000000001,0.86602,-0.11800247724417989,True,0.1547077434701276
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-73forbelow,73°F or below,0.0,1.0,7.949047851562526,True,True,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-74-75f,74-75°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-76-77f,76-77°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-78-79f,78-79°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-80-81f,80-81°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-82-83f,82-83°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-84-85f,84-85°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-86-87f,86-87°F,0.0,1.0,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-88-89f,88-89°F,0.012789327989646678,0.9872106720103533,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.985,56.0,0.99,0.0004950000000000005,0.990495,-0.0032843279896467292,True,0.009596211995012593
Dallas,KDAL,2026-06-02,highest-temperature-in-dallas-on-june-2-2026,highest-temperature-in-dallas-on-june-2-2026-90-91f,90-91°F,0.04590966365413424,0.9540903363458657,7.949047851562526,True,False,False,False,True,True,0.05,1.0,1780416900,0.94,56.0,0.95,0.002375000000000002,0.952375,0.0017153363458657367,True,0.050006562541015986
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-77forbelow,77°F or below,0.0,1.0,6.7412109375,False,True,False,False,True,True,0.05,1.0,1780503300,0.9995,53.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-78-79f,78-79°F,0.0,1.0,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.9995,53.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-80-81f,80-81°F,0.0007779783739981591,0.9992220216260018,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.9995,53.0,0.99,0.0004950000000000005,0.990495,0.008727021626001807,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-82-83f,82-83°F,0.031119134959926367,0.9688808650400736,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.9985,53.0,0.99,0.0004950000000000005,0.990495,-0.021614134959926368,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-84-85f,84-85°F,0.06004188017620697,0.9399581198237931,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.99,52.0,0.99,0.0004950000000000005,0.990495,-0.050536880176206944,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-86-87f,86-87°F,0.27078640475995164,0.7292135952400484,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.967,53.0,0.977,0.001123550000000001,0.97812355,-0.2489099547599516,True,0.022365732836102437
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-90-91f,90-91°F,0.14652744681642607,0.853472553183574,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.51,53.0,0.52,0.01248,0.5324800000000001,0.3209925531835739,True,0.8780048076923075
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-92-93f,92-93°F,0.02359601118364036,0.9764039888163596,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.945,53.0,0.955,0.002148750000000002,0.95714875,0.0192552388163596,True,0.04476968705229978
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-94-95f,94-95°F,0.0033708587405200524,0.99662914125948,6.7412109375,False,False,False,False,True,True,0.05,1.0,1780503300,0.9925,53.0,0.99,0.0004950000000000005,0.990495,0.006134141259479975,True,0.009596211995012593
Dallas,KDAL,2026-06-03,highest-temperature-in-dallas-on-june-3-2026,highest-temperature-in-dallas-on-june-3-2026-96forhigher,96°F or higher,0.0016854293702600262,0.9983145706297399,6.7412109375,False,True,False,False,True,True,0.05,1.0,1780503300,0.996,53.0,0.99,0.0004950000000000005,0.990495,0.007819570629739925,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-73forbelow,73°F or below,0.0,1.0,7.840502929687503,False,True,False,False,True,True,0.05,1.0,1780589700,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-74-75f,74-75°F,0.0,1.0,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-76-77f,76-77°F,0.0,1.0,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-78-79f,78-79°F,0.0,1.0,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-80-81f,80-81°F,0.01959105963768593,0.9804089403623141,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.998,56.0,0.99,0.0004950000000000005,0.990495,-0.01008605963768594,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-82-83f,82-83°F,0.0775449334636667,0.9224550665363334,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.965,56.0,0.975,0.001218750000000001,0.97621875,-0.05376368346366667,True,0.024360574922372757
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-84-85f,84-85°F,0.3373079366631655,0.6626920633368345,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.635,56.0,0.645,0.01144875,0.65644875,0.006243313336834477,True,0.5233481669361089
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-88-89f,88-89°F,0.08464501663900828,0.9153549833609917,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.845,56.0,0.855,0.006198750000000001,0.86119875,0.054156233360991735,True,0.1611721452219943
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-90-91f,90-91°F,0.016133856204797875,0.9838661437952021,7.840502929687503,False,False,False,False,True,True,0.05,1.0,1780589700,0.9825,56.0,0.99,0.0004950000000000005,0.990495,-0.006628856204797917,True,0.009596211995012593
Dallas,KDAL,2026-06-04,highest-temperature-in-dallas-on-june-4-2026,highest-temperature-in-dallas-on-june-4-2026-92forhigher,92°F or higher,0.0034572549010281166,0.9965427450989719,7.840502929687503,False,True,False,False,True,True,0.05,1.0,1780589700,0.9925,56.0,0.99,0.0004950000000000005,0.990495,0.0060477450989718795,True,0.009596211995012593
Dallas,KDAL,2026-06-05,highest-temperature-in-dallas-on-june-5-2026,highest-temperature-in-dallas-on-june-5-2026-69forbelow,69°F or below,0.0,1.0,4.753454589843756,False,True,False,False,True,True,0.05,1.0,1780676100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-05,highest-temperature-in-dallas-on-june-5-2026,highest-temperature-in-dallas-on-june-5-2026-70-71f,70-71°F,0.0,1.0,4.753454589843756,False,False,False,False,True,True,0.05,1.0,1780676100,0.9995,56.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
Dallas,KDAL,2026-06-05,highest-temperature-in-dallas-on-june-5-2026,highest-temperature-in-dallas-on-june-5-2026-72-73f,72-73°F,0.0,1.0,4.753454589843756,False,False,False,False,True,True,0.05,1.0,1780676100,0.9995,55.0,0.99,0.0004950000000000005,0.990495,0.009504999999999986,True,0.009596211995012593
