feature,kind,family,used_station_count,used_stations,missing_pct_min_all_rows,missing_pct_max_all_rows,missing_pct_weighted_mean_all_rows,missing_pct_min_modeling_rows,missing_pct_max_modeling_rows,missing_pct_weighted_mean_modeling_rows,expected_nan_policy,schema_note
v4_observed_wet_forecast_dry,numeric,v4 precipitation engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_month_remaining_warmup_count,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_month_remaining_warmup_mean_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,may_be_null; numeric median imputer handles,
v8_provider_max_remaining_from_high_so_far_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_provider_mean_remaining_vs_month_normal_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,may_be_null; numeric median imputer handles,
v8_provider_median_remaining_from_high_so_far_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_provider_min_remaining_from_high_so_far_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_provider_spread_per_remaining_warmup_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
v8_recent_remaining_warmup_30d_mean_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,may_be_null; numeric median imputer handles,
v8_recent_remaining_warmup_7d_mean_f,numeric,v8 remaining-warmup engineered,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,may_be_null; numeric median imputer handles,
